
=== ORIGINAL: Original PDF/Dummy App (5).pdf ===
  L: (432.2, 341.8) -> (432.2, 380.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (297.6, 341.8) -> (432.2, 341.8) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (432.2, 341.8) -> (432.2, 380.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (566.7, 341.8) -> (566.7, 380.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (432.2, 341.8) -> (566.7, 341.8) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  R: Rect(86.7699966430664, 277.3599853515625, 538.4400024414062, 340.8900146484375) | color=(1.0, 1.0, 1.0) | fill=(1.0, 1.0, 1.0) | width=1.0
  L: (86.8, 336.3) -> (538.4, 336.3) | color=(1.0, 1.0, 1.0) | fill=None | width=0.5
  L: (86.8, 282.3) -> (538.4, 282.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (86.8, 309.3) -> (538.4, 309.3) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (86.8, 341.8) -> (538.4, 341.8) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5609999895095825
  L: (99.4, 277.4) -> (99.4, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (99.4, 277.4) -> (99.4, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (170.3, 277.4) -> (170.3, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (170.3, 277.4) -> (170.3, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (241.1, 277.4) -> (241.1, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (241.1, 277.4) -> (241.1, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (311.9, 277.4) -> (311.9, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (311.9, 277.4) -> (311.9, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
  L: (382.8, 277.4) -> (382.8, 340.9) | color=(0.0, 0.0, 0.0) | fill=None | width=0.5170000195503235
